Time (s),PF,RR,BAT,MT
0.295214,4065.620000,4065.620000,4065.620000,4065.620000
0.296214,4065.510000,4065.510000,4065.510000,4065.510000
0.297214,4065.390000,4065.390000,4065.390000,4065.390000
0.298214,4065.280000,4065.280000,4065.280000,4065.280000
0.299214,4065.160000,4065.160000,4065.160000,4065.160000
0.300214,4065.040000,4065.040000,4065.040000,4065.040000
0.301214,4064.930000,4064.930000,4064.930000,4064.930000
0.302214,4064.810000,4064.810000,4064.810000,4064.810000
0.303214,4064.690000,4064.690000,4064.690000,4064.690000
0.304214,4064.580000,4064.580000,4064.580000,4064.580000
0.305214,4064.460000,4064.460000,4064.460000,4064.460000
0.306214,4064.350000,4064.350000,4064.350000,4064.350000
0.307214,4064.230000,4064.230000,4064.230000,4064.230000
0.308214,4064.110000,4064.110000,4064.110000,4064.110000
0.309214,4064.000000,4064.000000,4064.000000,4064.000000
0.310214,4063.880000,4063.880000,4063.880000,4063.880000
0.311214,4063.770000,4063.770000,4063.770000,4063.770000
0.312214,4063.650000,4063.650000,4063.650000,4063.650000
0.313214,4063.530000,4063.530000,4063.530000,4063.530000
0.314214,4063.420000,4063.420000,4063.420000,4063.420000
0.315214,4063.300000,4063.300000,4063.300000,4063.300000
0.316214,4063.190000,4063.190000,4063.190000,4063.190000
0.317214,4063.070000,4063.070000,4063.070000,4063.070000
0.318214,4062.950000,4062.950000,4062.950000,4062.950000
0.319214,4062.840000,4062.840000,4062.840000,4062.840000
0.320214,4062.720000,4062.720000,4062.720000,4062.720000
0.321214,4062.610000,4062.610000,4062.610000,4062.610000
0.322214,4062.490000,4062.490000,4062.490000,4062.490000
0.323214,4062.370000,4062.370000,4062.370000,4062.370000
0.324214,4062.260000,4062.260000,4062.260000,4062.260000
0.325214,4062.140000,4062.140000,4062.140000,4062.140000
0.326214,4062.030000,4062.030000,4062.030000,4062.030000
0.327214,4061.910000,4061.910000,4061.910000,4061.910000
0.328214,4061.790000,4061.790000,4061.790000,4061.790000
0.329214,4061.680000,4061.680000,4061.680000,4061.680000
0.330214,4061.560000,4061.560000,4061.560000,4061.560000
0.331214,4061.450000,4061.450000,4061.450000,4061.450000
0.332214,4061.330000,4061.330000,4061.330000,4061.330000
0.333214,4061.210000,4061.210000,4061.210000,4061.210000
0.334214,4061.100000,4061.100000,4061.100000,4061.100000
0.335214,4060.980000,4060.980000,4060.980000,4060.980000
0.336214,4060.870000,4060.870000,4060.870000,4060.870000
0.337214,4060.750000,4060.750000,4060.750000,4060.750000
0.338214,4060.640000,4060.640000,4060.640000,4060.640000
0.339214,4060.520000,4060.520000,4060.520000,4060.520000
0.340214,4060.400000,4060.400000,4060.400000,4060.400000
0.341214,4060.290000,4060.290000,4060.290000,4060.290000
0.342214,4060.170000,4060.170000,4060.170000,4060.170000
0.343214,4060.060000,4060.060000,4060.060000,4060.060000
0.344214,4059.940000,4059.940000,4059.940000,4059.940000
0.345214,4059.820000,4059.820000,4059.820000,4059.820000
0.346214,4059.710000,4059.710000,4059.710000,4059.710000
0.347214,4059.590000,4059.590000,4059.590000,4059.590000
0.348214,4059.480000,4059.480000,4059.480000,4059.480000
0.349214,4059.360000,4059.360000,4059.360000,4059.360000
0.350214,4059.240000,4059.240000,4059.240000,4059.240000
0.351214,4059.130000,4059.130000,4059.130000,4059.130000
0.352214,4059.010000,4059.010000,4059.010000,4059.010000
0.353214,4058.900000,4058.900000,4058.900000,4058.900000
0.354214,4058.780000,4058.780000,4058.780000,4058.780000
0.355214,4058.670000,4058.670000,4058.670000,4058.670000
0.356214,4058.550000,4058.550000,4058.550000,4058.550000
0.357214,4058.430000,4058.430000,4058.430000,4058.430000
0.358214,4058.320000,4058.320000,4058.320000,4058.320000
0.359214,4058.200000,4058.200000,4058.200000,4058.200000
0.360214,4058.090000,4058.090000,4058.090000,4058.090000
0.361214,4057.970000,4057.970000,4057.970000,4057.970000
0.362214,4057.850000,4057.850000,4057.850000,4057.850000
0.363214,4057.740000,4057.740000,4057.740000,4057.740000
0.364214,4057.620000,4057.620000,4057.620000,4057.620000
0.365214,4057.510000,4057.510000,4057.510000,4057.510000
0.366214,4057.390000,4057.390000,4057.390000,4057.390000
0.367214,4057.280000,4057.280000,4057.280000,4057.280000
0.368214,4057.160000,4057.160000,4057.160000,4057.160000
0.369214,4057.040000,4057.040000,4057.040000,4057.040000
0.370214,4056.930000,4056.930000,4056.930000,4056.930000
0.371214,4056.810000,4056.810000,4056.810000,4056.810000
0.372214,4056.700000,4056.700000,4056.700000,4056.700000
0.373214,4056.580000,4056.580000,4056.580000,4056.580000
0.374214,4056.470000,4056.470000,4056.470000,4056.470000
0.375214,4056.350000,4056.350000,4056.350000,4056.350000
0.376214,4056.230000,4056.230000,4056.230000,4056.230000
0.377214,4056.120000,4056.120000,4056.120000,4056.120000
0.378214,4056.000000,4056.000000,4056.000000,4056.000000
0.379214,4055.890000,4055.890000,4055.890000,4055.890000
0.380214,4055.770000,4055.770000,4055.770000,4055.770000
0.381214,4055.660000,4055.660000,4055.660000,4055.660000
0.382214,4055.540000,4055.540000,4055.540000,4055.540000
0.383214,4055.420000,4055.420000,4055.420000,4055.420000
0.384214,4055.310000,4055.310000,4055.310000,4055.310000
0.385214,4055.190000,4055.190000,4055.190000,4055.190000
0.386214,4055.080000,4055.080000,4055.080000,4055.080000
0.387214,4054.960000,4054.960000,4054.960000,4054.960000
0.388214,4054.850000,4054.850000,4054.850000,4054.850000
0.389214,4054.730000,4054.730000,4054.730000,4054.730000
0.390214,4054.610000,4054.610000,4054.610000,4054.610000
0.391214,4054.500000,4054.500000,4054.500000,4054.500000
0.392214,4054.380000,4054.380000,4054.380000,4054.380000
0.393214,4054.270000,4054.270000,4054.270000,4054.270000
0.394214,4054.150000,4054.150000,4054.150000,4054.150000
0.395214,4054.040000,4054.040000,4054.040000,4054.040000
0.396214,4053.920000,4053.920000,4053.920000,4053.920000
0.397214,4053.810000,4053.810000,4053.810000,4053.810000
0.398214,4053.690000,4053.690000,4053.690000,4053.690000
0.399214,4053.570000,4053.570000,4053.570000,4053.570000
0.400214,4053.460000,4053.460000,4053.460000,4053.460000
0.401214,4053.340000,4053.340000,4053.340000,4053.340000
0.402214,4053.230000,4053.230000,4053.230000,4053.230000
0.403214,4053.110000,4053.110000,4053.110000,4053.110000
0.404214,4053.000000,4053.000000,4053.000000,4053.000000
0.405214,4052.880000,4052.880000,4052.880000,4052.880000
0.406214,4052.760000,4052.760000,4052.760000,4052.760000
0.407214,4052.650000,4052.650000,4052.650000,4052.650000
0.408214,4052.530000,4052.530000,4052.530000,4052.530000
0.409214,4052.420000,4052.420000,4052.420000,4052.420000
0.410214,4052.300000,4052.300000,4052.300000,4052.300000
0.411214,4052.190000,4052.190000,4052.190000,4052.190000
0.412214,4052.070000,4052.070000,4052.070000,4052.070000
0.413214,4051.960000,4051.960000,4051.960000,4051.960000
0.414214,4051.840000,4051.840000,4051.840000,4051.840000
0.415214,4051.720000,4051.720000,4051.720000,4051.720000
0.416214,4051.610000,4051.610000,4051.610000,4051.610000
