Time (s),PF,RR,BAT,MT
0.5,0.038742,0.032506,0.022665,0.030110
0.75,0.040359,0.039211,0.024989,0.032005
1,0.040359,0.037909,0.030989,0.032005
1.25,0.040359,0.039438,0.027763,0.032005
1.5,0.040359,0.038536,0.029364,0.032005
1.75,0.040359,0.039980,0.038690,0.032005
2,0.040359,0.041754,0.030576,0.032005
2.25,0.040359,0.039569,0.027109,0.032005
2.5,0.040359,0.040695,0.034053,0.032005
2.75,0.040359,0.039514,0.028543,0.032005
3,0.040359,0.041736,0.026784,0.032005
3.25,0.040359,0.040118,0.026041,0.032005
3.5,0.040359,0.040625,0.027368,0.032005
3.75,0.040359,0.038805,0.029669,0.032005
4,0.040359,0.040018,0.025920,0.032002
4.25,0.040359,0.039529,0.031285,0.032005
4.5,0.040359,0.041190,0.027773,0.032005
4.75,0.040359,0.038722,0.025671,0.032005
5,0.040359,0.040431,0.024590,0.032005
5.25,0.040359,0.040269,0.026797,0.032005
5.5,0.040359,0.037805,0.027762,0.032005
5.75,0.040359,0.039548,0.026018,0.032005
6,0.040359,0.037630,0.027042,0.032005
6.25,0.040359,0.040625,0.027628,0.032005
6.5,0.040359,0.038821,0.026741,0.032005
6.75,0.040359,0.040358,0.028389,0.032005
7,0.040359,0.041180,0.025739,0.032005
7.25,0.040359,0.040637,0.028059,0.032005
7.5,0.040359,0.038736,0.025447,0.032002
7.75,0.040359,0.039449,0.028247,0.032005
8,0.040359,0.040106,0.025500,0.032005
8.25,0.040359,0.039612,0.024461,0.032005
8.5,0.040359,0.040849,0.025650,0.032005
8.75,0.040359,0.039375,0.027815,0.032005
9,0.040359,0.040309,0.028722,0.032005
9.25,0.040359,0.039793,0.028339,0.032005
9.5,0.040359,0.041911,0.028259,0.032005
9.75,0.040359,0.038000,0.025797,0.032005
