Time (s),PF,RR,BAT,MT
0.5,0.038742,0.030499,0.027383,0.030110
0.75,0.040359,0.040524,0.026498,0.047356
1,0.040359,0.039084,0.032434,0.036641
1.25,0.040359,0.039265,0.026988,0.032005
1.5,0.040359,0.037820,0.027998,0.032005
1.75,0.040359,0.041481,0.026129,0.032005
2,0.040359,0.038531,0.029141,0.032005
2.25,0.040359,0.040245,0.033290,0.032005
2.5,0.040359,0.038443,0.029483,0.050314
2.75,0.040359,0.040689,0.025830,0.040283
3,0.040359,0.036900,0.029240,0.040283
3.25,0.040359,0.029997,0.029353,0.040283
3.5,0.040359,0.033806,0.025050,0.040283
3.75,0.040359,0.038440,0.025716,0.040283
4,0.040359,0.039647,0.026822,0.040283
4.25,0.040359,0.037108,0.030089,0.040283
4.5,0.040359,0.041347,0.030357,0.040283
4.75,0.040359,0.040237,0.034009,0.040283
5,0.040359,0.040558,0.027414,0.040283
5.25,0.040359,0.039563,0.029939,0.040283
5.5,0.040359,0.040424,0.026694,0.040283
5.75,0.040359,0.040843,0.027402,0.040283
6,0.040359,0.036494,0.029921,0.040283
6.25,0.040359,0.039572,0.027557,0.040283
6.5,0.040359,0.041429,0.029594,0.040283
6.75,0.040359,0.040692,0.029700,0.040283
7,0.040359,0.039668,0.030763,0.040283
7.25,0.040359,0.040884,0.029272,0.040283
7.5,0.040359,0.040877,0.031808,0.040283
7.75,0.040359,0.039778,0.029301,0.040283
8,0.040359,0.040219,0.029193,0.040283
8.25,0.040359,0.041298,0.031010,0.040283
8.5,0.040359,0.040704,0.030830,0.032336
8.75,0.040359,0.040689,0.028703,0.032005
9,0.040359,0.039380,0.028609,0.032005
9.25,0.040359,0.041373,0.028961,0.032005
9.5,0.040359,0.039122,0.032271,0.052437
9.75,0.040359,0.040352,0.030771,0.040283
