Number of UEs,PF (0 m/s),PF (5 m/s),RR (0 m/s),RR (5 m/s),BAT (0 m/s),BAT (5 m/s),MT (0 m/s),MT (5 m/s)
1,3.48131,3.40865,3.16683,3.12541,1.87199,1.8679,7.94909,7.85561
2,2.56388,2.57277,2.44709,2.46507,1.8714,1.86761,8.05072,8.05072
3,2.55371,2.56717,2.42474,2.32575,1.87125,1.86728,8.05072,8.0507
4,2.25619,2.23558,2.25374,2.26268,1.86882,1.86503,8.0507,8.04817
5,2.25337,2.15939,2.22987,2.1998,1.86872,1.86473,8.04817,7.96685
6,2.15188,2.13207,2.20879,2.16924,1.69193,1.69356,7.65703,7.65703
7,2.14828,2.1009,1.99337,1.97564,1.69088,1.69259,7.85262,7.85262
8,1.97831,2.08132,1.98787,1.96486,1.69081,1.69234,7.85256,7.85256
9,1.96498,1.89201,1.94005,1.94731,1.69039,1.69182,7.84758,7.84758
10,1.93069,1.85401,1.93293,1.89246,1.68931,1.69094,8.05326,8.05326
11,1.87341,1.84004,1.92816,1.87995,1.63226,1.63058,8.05326,8.05326
12,1.87037,1.83407,1.89039,1.85794,1.63209,1.63033,8.05326,8.04826
13,1.80739,1.79325,1.75856,1.76295,1.63145,1.62974,8.04826,8.04816
14,1.66224,1.66148,1.71565,1.71562,1.63137,1.62972,8.04816,7.78421
15,1.63203,1.63697,1.70305,1.67754,1.63135,1.62966,7.11993,7.75974
16,1.58792,1.60237,1.63608,1.66927,1.50342,1.4775,0.225586,8.01119
17,1.55187,1.52823,1.62637,1.64848,1.50298,1.47713,0.225586,0.225586
18,1.47066,1.51787,1.62594,1.62245,1.50235,1.47661,0.225586,0.225586
19,1.4502,1.5108,1.60506,1.5789,1.50199,1.47638,0,0.225586
20,1.31898,1.32764,1.35053,1.33605,1.50143,1.47571,0,0
